animal	group	WkPost-TX	feature	value	name	tissue	timepoint	newname	parameter	unit
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_IL2p_GAG_UNS	1.3636363636363635	Wk-13 Post-ATI LN CD3p CD4p IL2p GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p IL2p GAG UNS	LN_CD3p_CD4p_IL2p_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	1.7352941176470587	Wk-13 Post-ATI LN CD3p CD4p TCM IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p TCM IFNGp GAG UNS	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TNFAp_GAG_UNS	1.0864197530864197	Wk-13 Post-ATI LN CD3p CD4p TNFAp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p TNFAp GAG UNS	LN_CD3p_CD4p_TNFAp_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.108179419525066	Wk-13 Post-ATI LN CD3p CD8p CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p CX3CR1p GAG UNS	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_IFNGp_GAG_UNS	2.3142857142857145	Wk-13 Post-ATI LN CD3p CD8p IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p IFNGp GAG UNS	LN_CD3p_CD8p_IFNGp_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.1432291666666667	Wk-13 Post-ATI LN CD3p CD8p TCM CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM CX3CR1p GAG UNS	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	0.9592592592592593	Wk-13 Post-ATI LN CD3p CD8p TEM CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p TEM CX3CR1p GAG UNS	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	FC
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_KI67p	1.86	Wk-13 Post-ATI LN CD3p CD4p KI67p	LN	Week -13 Post-ATI	CD3p CD4p KI67p	LN_CD3p_CD4p_KI67p	%
34897	aIL10	-1	wk-1_LN_CD3p_CD4p_TEM	0.13	Wk-13 Post-ATI LN CD3p CD4p TEM	LN	Week -13 Post-ATI	CD3p CD4p TEM	LN_CD3p_CD4p_TEM	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_CD25p	3.66	Wk-13 Post-ATI LN CD3p CD8p CD25p	LN	Week -13 Post-ATI	CD3p CD8p CD25p	LN_CD3p_CD8p_CD25p	%
34897	aIL10	-1	wk-1_LN_CD3p_CD8p_KI67p	1.05	Wk-13 Post-ATI LN CD3p CD8p KI67p	LN	Week -13 Post-ATI	CD3p CD8p KI67p	LN_CD3p_CD8p_KI67p	%
34897	aIL10	-1	wk-1_LN_CD3p_CD4_CD95pCD28nTEM	1.13	Wk-13 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week -13 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.04	Wk-13 Post-ATI PBMC CD3p CD4p Naive TNFAp GAG	PBMC	Week -13 Post-ATI	CD3p CD4p Naive TNFAp GAG	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	2249	Wk-13 Post-ATI PBMC CD3p CD4p TCM  BCL2 GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 GAG	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	MFI
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_CD39p_GAG	3.84	Wk-13 Post-ATI PBMC CD3p CD4p TCM CD39p GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TCM CD39p GAG	PBMC_CD3p_CD4p_TCM_CD39p_GAG	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TEM_ID2p_GAG	30.3	Wk-13 Post-ATI PBMC CD3p CD4p TEM ID2p GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TEM ID2p GAG	PBMC_CD3p_CD4p_TEM_ID2p_GAG	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD39p_UNS	2.16	Wk-13 Post-ATI PBMC CD3p CD4p CD39p UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD39p UNS	PBMC_CD3p_CD4p_CD39p_UNS	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_Naive_KI67p_UNS	2.14	Wk-13 Post-ATI PBMC CD3p CD4p Naive KI67p UNS	PBMC	Week -13 Post-ATI	CD3p CD4p Naive KI67p UNS	PBMC_CD3p_CD4p_Naive_KI67p_UNS	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2644	Wk-13 Post-ATI PBMC CD3p CD4p TCM  BCL2 UNS	PBMC	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 UNS	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	MFI
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TCM_CD69p_UNS	2.08	Wk-13 Post-ATI PBMC CD3p CD8p TCM CD69p UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TCM CD69p UNS	PBMC_CD3p_CD8p_TCM_CD69p_UNS	%
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.111111111111111	Wk-13 Post-ATI PBMC CD3p CD4p CD39p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD39p GAG UNS	PBMC_CD3p_CD4p_CD39p_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD69p_GAG_UNS	1.0465116279069768	Wk-13 Post-ATI PBMC CD3p CD4p CD69p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD69p GAG UNS	PBMC_CD3p_CD4p_CD69p_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.7438423645320198	Wk-13 Post-ATI PBMC CD3p CD4p KI67p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p KI67p GAG UNS	PBMC_CD3p_CD4p_KI67p_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	1.2417582417582416	Wk-13 Post-ATI PBMC CD3p CD4p TCM CD69p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p TCM CD69p GAG UNS	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	1.1627906976744187	Wk-13 Post-ATI PBMC CD3p CD8p IFNGp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p IFNGp GAG UNS	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	2.6296296296296293	Wk-13 Post-ATI PBMC CD3p CD8p Naive TNFAp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p Naive TNFAp GAG UNS	PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TBETp_GAG_UNS	1.108695652173913	Wk-13 Post-ATI PBMC CD3p CD8p TBETp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TBETp GAG UNS	PBMC_CD3p_CD8p_TBETp_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TNFAp_GAG_UNS	0.88	Wk-13 Post-ATI PBMC CD3p CD8p TNFAp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TNFAp GAG UNS	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	FC
34897	aIL10	-1	wk-1_PBMC_CD3p_CD8p_KI67p	2.28	Wk-13 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week -13 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
34897	aIL10	-1	wk-1_MSD_Cluster_1	-0.417879738220088	Wk-13 Post-ATI MSD Cluster 1	LN	Week -13 Post-ATI	 MSD Cluster 1	MSD_Cluster_1	centroid score
34897	aIL10	-1	wk-1_MSD_Cluster_2	-0.368522434771179	Wk-13 Post-ATI MSD Cluster 2	LN	Week -13 Post-ATI	 MSD Cluster 2	MSD_Cluster_2	centroid score
34897	aIL10	-1	wk-1_MSD_Cluster_3	-0.350343184369118	Wk-13 Post-ATI MSD Cluster 3	LN	Week -13 Post-ATI	 MSD Cluster 3	MSD_Cluster_3	centroid score
RFn17	aIL10	-1	wk-1_IL10	0.287328693576735	Wk-13 Post-ATI IL10	LN	Week -13 Post-ATI	 IL10	IL10	pg/ml
RFn17	aIL10	-1	wk-1_IL4	0.138240890454435	Wk-13 Post-ATI IL4	LN	Week -13 Post-ATI	 IL4	IL4	pg/ml
RFn17	aIL10	-1	wk-1_MIP3b	48.6891834234805	Wk-13 Post-ATI MIP3b	LN	Week -13 Post-ATI	 MIP3b	MIP3b	pg/ml
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_IFNGp_GAG	1.19	Wk-13 Post-ATI LN CD3p CD4p TCM IFNGp GAG	LN	Week -13 Post-ATI	CD3p CD4p TCM IFNGp GAG	LN_CD3p_CD4p_TCM_IFNGp_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	6866	Wk-13 Post-ATI LN CD3p CD4p TEM  TCF1 GAG	LN	Week -13 Post-ATI	CD3p CD4p TEM  TCF1 GAG	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	MFI
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TNFAp_GAG	0.15	Wk-13 Post-ATI LN CD3p CD4p TNFAp GAG	LN	Week -13 Post-ATI	CD3p CD4p TNFAp GAG	LN_CD3p_CD4p_TNFAp_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_GRZBp_GAG	4.82	Wk-13 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week -13 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_IFNGp_GAG	0.63	Wk-13 Post-ATI LN CD3p CD8p TCM IFNGp GAG	LN	Week -13 Post-ATI	CD3p CD8p TCM IFNGp GAG	LN_CD3p_CD8p_TCM_IFNGp_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CD39p_GAG	10	Wk-13 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week -13 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	45.7	Wk-13 Post-ATI LN CD3p CD8p TEM CX3CR1p GAG	LN	Week -13 Post-ATI	CD3p CD8p TEM CX3CR1p GAG	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_MFI_BCL2_UNS	2563	Wk-13 Post-ATI LN CD3p CD4p  BCL2 UNS	LN	Week -13 Post-ATI	CD3p CD4p  BCL2 UNS	LN_CD3p_CD4p_MFI_BCL2_UNS	MFI
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2670	Wk-13 Post-ATI LN CD3p CD4p TCM  BCL2 UNS	LN	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 UNS	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	MFI
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_MFI_TCF1_UNS	12669	Wk-13 Post-ATI LN CD3p CD8p  TCF1 UNS	LN	Week -13 Post-ATI	CD3p CD8p  TCF1 UNS	LN_CD3p_CD8p_MFI_TCF1_UNS	MFI
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_KI67p_UNS	4.41	Wk-13 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week -13 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_GRZBp_UNS	2.49	Wk-13 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_KI67p_UNS	5.15	Wk-13 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	0.66	Wk-13 Post-ATI LN CD3p CD8p TCM SLAMF6p UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM SLAMF6p UNS	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_IFNGp_GAG_UNS	1.7804878048780488	Wk-13 Post-ATI LN CD3p CD4p IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p IFNGp GAG UNS	LN_CD3p_CD4p_IFNGp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_IL2p_GAG_UNS	0.36585365853658536	Wk-13 Post-ATI LN CD3p CD4p IL2p GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p IL2p GAG UNS	LN_CD3p_CD4p_IL2p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	3.131578947368421	Wk-13 Post-ATI LN CD3p CD4p TCM IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p TCM IFNGp GAG UNS	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TNFAp_GAG_UNS	0	Wk-13 Post-ATI LN CD3p CD4p TNFAp GAG UNS	LN	Week -13 Post-ATI	CD3p CD4p TNFAp GAG UNS	LN_CD3p_CD4p_TNFAp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.094017094017094	Wk-13 Post-ATI LN CD3p CD8p CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p CX3CR1p GAG UNS	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_IFNGp_GAG_UNS	1.2608695652173911	Wk-13 Post-ATI LN CD3p CD8p IFNGp GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p IFNGp GAG UNS	LN_CD3p_CD8p_IFNGp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.0510752688172043	Wk-13 Post-ATI LN CD3p CD8p TCM CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p TCM CX3CR1p GAG UNS	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	1.0803782505910167	Wk-13 Post-ATI LN CD3p CD8p TEM CX3CR1p GAG UNS	LN	Week -13 Post-ATI	CD3p CD8p TEM CX3CR1p GAG UNS	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_KI67p	1.33	Wk-13 Post-ATI LN CD3p CD4p KI67p	LN	Week -13 Post-ATI	CD3p CD4p KI67p	LN_CD3p_CD4p_KI67p	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4p_TEM	0.18	Wk-13 Post-ATI LN CD3p CD4p TEM	LN	Week -13 Post-ATI	CD3p CD4p TEM	LN_CD3p_CD4p_TEM	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_CD25p	4.11	Wk-13 Post-ATI LN CD3p CD8p CD25p	LN	Week -13 Post-ATI	CD3p CD8p CD25p	LN_CD3p_CD8p_CD25p	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD8p_KI67p	1.18	Wk-13 Post-ATI LN CD3p CD8p KI67p	LN	Week -13 Post-ATI	CD3p CD8p KI67p	LN_CD3p_CD8p_KI67p	%
RFn17	aIL10	-1	wk-1_LN_CD3p_CD4_CD95pCD28nTEM	1.3	Wk-13 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week -13 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.14	Wk-13 Post-ATI PBMC CD3p CD4p Naive TNFAp GAG	PBMC	Week -13 Post-ATI	CD3p CD4p Naive TNFAp GAG	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	2681	Wk-13 Post-ATI PBMC CD3p CD4p TCM  BCL2 GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 GAG	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	MFI
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_CD39p_GAG	4.7	Wk-13 Post-ATI PBMC CD3p CD4p TCM CD39p GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TCM CD39p GAG	PBMC_CD3p_CD4p_TCM_CD39p_GAG	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TEM_ID2p_GAG	45.7	Wk-13 Post-ATI PBMC CD3p CD4p TEM ID2p GAG	PBMC	Week -13 Post-ATI	CD3p CD4p TEM ID2p GAG	PBMC_CD3p_CD4p_TEM_ID2p_GAG	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD39p_UNS	3.02	Wk-13 Post-ATI PBMC CD3p CD4p CD39p UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD39p UNS	PBMC_CD3p_CD4p_CD39p_UNS	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_Naive_KI67p_UNS	1.96	Wk-13 Post-ATI PBMC CD3p CD4p Naive KI67p UNS	PBMC	Week -13 Post-ATI	CD3p CD4p Naive KI67p UNS	PBMC_CD3p_CD4p_Naive_KI67p_UNS	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2686	Wk-13 Post-ATI PBMC CD3p CD4p TCM  BCL2 UNS	PBMC	Week -13 Post-ATI	CD3p CD4p TCM  BCL2 UNS	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	MFI
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TCM_CD69p_UNS	2.56	Wk-13 Post-ATI PBMC CD3p CD8p TCM CD69p UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TCM CD69p UNS	PBMC_CD3p_CD8p_TCM_CD69p_UNS	%
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.6688741721854305	Wk-13 Post-ATI PBMC CD3p CD4p CD39p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD39p GAG UNS	PBMC_CD3p_CD4p_CD39p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_CD69p_GAG_UNS	1.8916666666666668	Wk-13 Post-ATI PBMC CD3p CD4p CD69p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p CD69p GAG UNS	PBMC_CD3p_CD4p_CD69p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_KI67p_GAG_UNS	1.3414634146341464	Wk-13 Post-ATI PBMC CD3p CD4p KI67p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p KI67p GAG UNS	PBMC_CD3p_CD4p_KI67p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	1.5965909090909092	Wk-13 Post-ATI PBMC CD3p CD4p TCM CD69p GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD4p TCM CD69p GAG UNS	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	3.9791666666666665	Wk-13 Post-ATI PBMC CD3p CD8p IFNGp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p IFNGp GAG UNS	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TBETp_GAG_UNS	2.1818181818181817	Wk-13 Post-ATI PBMC CD3p CD8p TBETp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TBETp GAG UNS	PBMC_CD3p_CD8p_TBETp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD8p_TNFAp_GAG_UNS	4	Wk-13 Post-ATI PBMC CD3p CD8p TNFAp GAG UNS	PBMC	Week -13 Post-ATI	CD3p CD8p TNFAp GAG UNS	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	FC
RFn17	aIL10	-1	wk-1_PBMC_CD3p_CD8p_KI67p	0.8	Wk-13 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week -13 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RFn17	aIL10	-1	wk-1_MSD_Cluster_1	-0.163597460927593	Wk-13 Post-ATI MSD Cluster 1	LN	Week -13 Post-ATI	 MSD Cluster 1	MSD_Cluster_1	centroid score
RFn17	aIL10	-1	wk-1_MSD_Cluster_2	-0.24409791256759	Wk-13 Post-ATI MSD Cluster 2	LN	Week -13 Post-ATI	 MSD Cluster 2	MSD_Cluster_2	centroid score
RFn17	aIL10	-1	wk-1_MSD_Cluster_3	-0.479881177464127	Wk-13 Post-ATI MSD Cluster 3	LN	Week -13 Post-ATI	 MSD Cluster 3	MSD_Cluster_3	centroid score
