animal	group	WkPost-TX	feature	value	name	tissue	timepoint	newname	parameter	unit
34930	aIL10	12	wk12_LN_CD3p_CD8p_KI67p_UNS	3.63	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
34930	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	2.32	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
34930	aIL10	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	3.77	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
34930	aIL10	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	1.15	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
34930	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	0.76	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RBe17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	3.15	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RBe17	Control	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	4.86	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RBe17	Control	12	wk12_LN_CD3p_CD8p_KI67p_UNS	4.27	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RBe17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	3.44	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RBe17	Control	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	4.98	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RBe17	Control	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	1.58	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RBe17	Control	12	wk12_PBMC_CD3p_CD8p_KI67p	2.32	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RBf17	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.25	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RBf17	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	2.52	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RBv17	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.38	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RBv17	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	3	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
REq17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	7.24	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
REq17	Control	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	9.87	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
REq17	Control	12	wk12_LN_CD3p_CD8p_KI67p_UNS	4.71	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
REq17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	5.98	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
REq17	Control	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	6.31	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
REq17	Control	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.48	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
REq17	Control	12	wk12_PBMC_CD3p_CD8p_KI67p	1.46	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
REu17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	1.64	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
REu17	Control	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	3.14	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
REu17	Control	12	wk12_LN_CD3p_CD8p_KI67p_UNS	4.09	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
REu17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	3.26	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
REu17	Control	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	6.31	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
REu17	Control	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.5	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
REu17	Control	12	wk12_PBMC_CD3p_CD8p_KI67p	0.86	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	5.99	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	7.2	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_KI67p_UNS	5.49	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	6.37	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	6.71	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RFl17	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.53	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RFl17	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	1.66	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RFn17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	3.97	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RFn17	aIL10	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	5.32	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RFn17	aIL10	12	wk12_LN_CD3p_CD8p_KI67p_UNS	3.99	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RFn17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	3.92	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RFn17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	4.6	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RFn17	aIL10	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	1.73	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RFn17	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	2.23	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RGr17	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	2.08	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RHm17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	5.91	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RHm17	aIL10	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	8.7	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RHm17	aIL10	12	wk12_LN_CD3p_CD8p_KI67p_UNS	5.99	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RHm17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	6.33	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RHm17	aIL10	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	8.11	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RHm17	aIL10	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.85	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RHm17	aIL10	12	wk12_PBMC_CD3p_CD8p_KI67p	1.32	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	8.44	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	15.4	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_KI67p_UNS	6.78	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	9.79	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	8.05	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RIb17	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.48	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RIb17	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	3.25	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	5.39	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	14.8	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_KI67p_UNS	6.16	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	7.37	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	13.7	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RKq17	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.51	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RKq17	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	4.12	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RMl17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	5.25	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RMl17	Control	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	5.32	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RMl17	Control	12	wk12_LN_CD3p_CD8p_KI67p_UNS	5.6	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RMl17	Control	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	7.47	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RMl17	Control	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	5.93	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RMl17	Control	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	1	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RMl17	Control	12	wk12_PBMC_CD3p_CD8p_KI67p	1.51	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	5.35	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	8.55	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_KI67p_UNS	7.91	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	8.44	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	9.59	Wk0 Post-ATI LN CD3p CD8p TCM KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM KI67p UNS	LN_CD3p_CD8p_TCM_KI67p_UNS	%
RNy16	aIL10+aPD1	12	wk12_LN_CD3p_CD4_CD95pCD28nTEM	0.53	Wk0 Post-ATI LN CD3p CD4 CD95pCD28nTEM	LN	Week 0 Post-ATI	CD3p CD4 CD95pCD28nTEM	LN_CD3p_CD4_CD95pCD28nTEM	%
RNy16	aIL10+aPD1	12	wk12_PBMC_CD3p_CD8p_KI67p	3.29	Wk0 Post-ATI PBMC CD3p CD8p KI67p	PBMC	Week 0 Post-ATI	CD3p CD8p KI67p	PBMC_CD3p_CD8p_KI67p	%
RRh17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	17	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp GAG	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp GAG	LN_CD3p_CD8p_TCM_GRZBp_GAG	%
RRh17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	7.05	Wk0 Post-ATI LN CD3p CD8p TEM CD39p GAG	LN	Week 0 Post-ATI	CD3p CD8p TEM CD39p GAG	LN_CD3p_CD8p_TEM_CD39p_GAG	%
RRh17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_KI67p_UNS	6.86	Wk0 Post-ATI LN CD3p CD8p KI67p UNS	LN	Week 0 Post-ATI	CD3p CD8p KI67p UNS	LN_CD3p_CD8p_KI67p_UNS	%
RRh17	aIL10+aPD1	12	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	23.8	Wk0 Post-ATI LN CD3p CD8p TCM GRZBp UNS	LN	Week 0 Post-ATI	CD3p CD8p TCM GRZBp UNS	LN_CD3p_CD8p_TCM_GRZBp_UNS	%
